"Date","Open","High","Low","Close","Adj Close","Volume"
"2022-03-17","3.58","3.715","3.58","3.58","3.440909","2800"
"2022-03-18","3.625","3.625","3.51","3.51","3.373629","12600"
"2022-03-21","3.58","3.62","3.58","3.62","3.479355","71700"
"2022-03-22","3.745","3.745","3.63","3.745","3.599498","13400"
"2022-03-23","3.705","3.82","3.59","3.82","3.671584","5700"
"2022-03-24","3.67","3.9","3.67","3.9","3.748477","9300"
"2022-03-25","3.795","3.83","3.795","3.83","3.681196","600"
"2022-03-28","3.73","3.8","3.72","3.72","3.57547","2100"
"2022-03-29","3.68","3.795","3.68","3.795","3.647556","3100"
"2022-03-30","3.65","3.84","3.622","3.725","3.580275","1900"
"2022-03-31","3.52","3.635","3.52","3.635","3.493772","1700"
"2022-04-01","3.58","3.7","3.47","3.58","3.440909","3000"
"2022-04-04","3.576","3.68","3.57","3.68","3.537024","6500"
"2022-04-06","3.62","3.748","3.62","3.748","3.602382","600"
"2022-04-07","3.655","3.73","3.54","3.73","3.585081","2300"
"2022-04-08","3.67","3.77","3.56","3.56","3.421686","2400"
"2022-04-11","3.545","3.545","3.43","3.43","3.296737","1800"
"2022-04-12","3.41","3.525","3.41","3.525","3.388046","1700"
"2022-04-13","3.71","3.71","3.62","3.62","3.479355","400"
"2022-04-14","3.69","3.69","3.58","3.602","3.462054","22300"
"2022-04-18","3.92","4.09","3.55","4.09","3.931094","43200"
"2022-04-19","4.055","4.055","4.055","4.055","3.897454","1000"
"2022-04-20","4.38","4.44","4.32","4.44","4.267496","4200"
"2022-04-22","4.325","4.325","4.325","4.325","4.156964","500"
"2022-04-25","4.51","4.51","4.51","4.51","4.334777","3000"
"2022-04-26","4.25","4.39","4.25","4.39","4.219439","1100"
"2022-04-28","4.54","4.597","4.54","4.597","4.418396","500"
"2022-04-29","4.4","4.48","4.4","4.48","4.305942","500"
"2022-05-03","4.22","4.41","4.22","4.22","4.056044","1000"
"2022-05-04","4.23","4.4","4.23","4.4","4.22905","700"
"2022-05-06","4.32","4.33","4.32","4.32","4.152159","2100"
"2022-05-09","4.04","4.1","4.04","4.1","3.940706","1600"
"2022-05-10","4.14","4.14","3.93","3.93","3.843875","1800"
"2022-05-11","4.035","4.14","4.035","4.14","4.049273","13500"
"2022-05-12","3.77","3.825","3.7","3.7","3.618916","3700"
"2022-05-13","3.97","3.97","3.73","3.73","3.648258","8200"
"2022-05-16","3.79","3.835","3.79","3.835","3.750957","800"
"2022-05-17","3.71","3.71","3.71","3.71","3.628697","2700"
"2022-05-18","3.635","3.68","3.635","3.68","3.599354","900"
"2022-05-19","3.594","3.628","3.594","3.628","3.548494","1100"
"2022-05-20","3.606","3.606","3.57","3.57","3.491765","900"
"2022-05-23","3.505","3.505","3.505","3.505","3.428189","2300"
"2022-05-24","3.48","3.48","3.48","3.48","3.403737","2500"
"2022-05-25","3.475","3.493","3.44","3.44","3.364614","62800"
"2022-05-26","3.48","3.48","3.4","3.445","3.369504","24300"
"2022-05-27","3.58","3.67","3.56","3.615","3.535779","2900"
"2022-05-31","3.53","3.565","3.53","3.53","3.452641","1600"
"2022-06-01","3.58","3.58","3.58","3.58","3.501545","300"
"2022-06-03","3.54","3.575","3.54","3.575","3.496655","800"
"2022-06-06","3.54","3.54","3.51","3.51","3.433079","1100"
"2022-06-07","3.49","3.49","3.49","3.49","3.413518","1100"
"2022-06-08","3.57","3.605","3.57","3.605","3.525998","10000"
"2022-06-09","3.51","3.524","3.46","3.46","3.384175","10900"
"2022-06-10","3.455","3.455","3.42","3.455","3.379285","1100"
"2022-06-13","3.11","3.215","3.11","3.115","3.046736","7800"
"2022-06-14","3.265","3.265","3.16","3.234","3.163128","2600"
"2022-06-16","3.165","3.165","3.05","3.05","2.98316","3600"
"2022-06-17","3.158","3.158","3.095","3.095","3.027174","1500"
"2022-06-21","3.32","3.33","3.2","3.2","3.129873","10700"
"2022-06-27","3.56","3.56","3.56","3.56","3.481984","900"
"2022-06-28","3.505","3.62","3.39","3.62","3.540669","2400"
"2022-06-29","3.293","3.484","3.26","3.484","3.407649","700"
"2022-06-30","3.316","3.316","3.316","3.316","3.243331","100"
"2022-07-01","3.47","3.47","3.47","3.47","3.393956","2000"
"2022-07-05","3.12","3.12","3.12","3.12","3.051626","200"
"2022-07-06","2.94","2.94","2.94","2.94","2.875571","1600"
"2022-07-07","2.934","2.984","2.86","2.955","2.890242","15000"
"2022-07-08","3.12","3.12","2.96","3","2.934256","3100"
"2022-07-11","2.96","3.04","2.96","3.04","2.973379","1400"
"2022-07-12","3.07","3.07","3.01","3.01","2.944037","1300"
"2022-07-13","3.005","3.005","3.005","3.005","2.939147","4100"
"2022-07-15","3.035","3.035","2.94","3.035","2.968489","7800"
"2022-07-18","3.138","3.138","3","3.01","2.944037","3100"
"2022-07-19","3.28","3.28","3.28","3.28","3.20812","100"
"2022-07-20","3.21","3.397","3.21","3.242","3.170953","2000"
"2022-07-22","3.12","3.34","3.12","3.34","3.266805","6000"
"2022-07-25","3.143","3.143","3.143","3.143","3.074122","700"
"2022-07-26","3.03","3.23","3.03","3.23","3.159216","2300"
"2022-07-27","3","3.04","2.98","3","2.934256","109200"
"2022-07-28","3.13","3.14","3.04","3.04","2.973379","226500"
"2022-07-29","3.03","3.03","3.03","3.03","2.963598","10800"
"2022-08-01","3.185","3.22","3.185","3.185","3.115202","1400"
"2022-08-02","3.11","3.28","3.11","3.15","3.080969","1800"
"2022-08-08","3.485","3.485","3.376","3.376","3.302016","1500"
"2022-08-09","3.421","3.421","3.35","3.35","3.276586","85800"
"2022-08-10","3.7","3.7","3.7","3.7","3.618916","300"
"2022-08-15","3.645","3.645","3.645","3.645","3.565121","4000"
"2022-08-16","3.52","3.52","3.52","3.52","3.44286","300"
"2022-08-17","3.51","3.545","3.51","3.545","3.467313","700"
"2022-08-18","3.545","3.545","3.545","3.545","3.467313","100"
"2022-08-19","3.545","3.545","3.545","3.545","3.467313","100"
"2022-08-22","3.35","3.35","3.35","3.35","3.276586","2500"
"2022-08-24","3.63","3.63","3.63","3.63","3.55045","600"
"2022-08-25","3.69","3.69","3.48","3.48","3.403737","1300"
"2022-08-26","3.65","3.65","3.65","3.65","3.570012","1600"
"2022-08-29","3.63","3.63","3.39","3.39","3.315709","2800"
"2022-08-30","3.59","3.59","3.585","3.585","3.506436","1000"
"2022-08-31","3.39","3.594","3.39","3.47","3.393956","1100"
"2022-09-02","3.59","3.59","3.37","3.59","3.511326","6700"
"2022-09-07","3.524","3.524","3.524","3.524","3.446773","300"
"2022-09-08","3.636","3.636","3.636","3.636","3.556318","100"
"2022-09-09","3.43","3.43","3.43","3.43","3.354833","3900"
"2022-09-13","3.47","3.54","3.47","3.505","3.428189","1600"
"2022-09-14","3.4","3.4","3.4","3.4","3.32549","6500"
"2022-09-15","3.343","3.53","3.31","3.31","3.237463","30400"
"2022-09-16","3.31","3.31","3.31","3.31","3.237463","100"
"2022-09-20","3.221","3.26","3.221","3.26","3.188558","5800"
"2022-09-22","3.21","3.33","3.21","3.33","3.257024","2700"
"2022-09-23","3.347","3.347","3.16","3.16","3.09075","1200"
"2022-09-27","3.18","3.18","3.18","3.18","3.110312","600"
"2022-09-28","3.23","3.23","3.23","3.23","3.159216","1300"
"2022-09-29","3.1","3.1","3.1","3.1","3.032064","47900"
"2022-10-03","3.16","3.18","3.16","3.18","3.110312","3400"
"2022-10-04","3.18","3.35","3.18","3.35","3.276586","4000"
"2022-10-05","3.325","3.325","3.24","3.24","3.168997","900"
"2022-10-07","3.19","3.28","3.19","3.26","3.188558","1300"
"2022-10-10","3.2","3.2","3.2","3.2","3.129873","600"
"2022-10-11","3.235","3.235","3.235","3.235","3.164106","1000"
"2022-10-12","3.165","3.226","3.165","3.226","3.155303","500"
"2022-10-13","3.1","3.1","3.1","3.1","3.032064","200"
"2022-10-14","3.135","3.135","3.135","3.135","3.066298","200"
"2022-10-17","3.15","3.15","3.15","3.15","3.080969","600"
"2022-10-18","3.165","3.165","3.06","3.06","2.992941","800"
"2022-10-19","3.121","3.27","3.09","3.27","3.198339","1100"
"2022-10-24","2.975","2.98","2.82","2.98","2.914694","4800"
"2022-10-25","2.99","2.99","2.99","2.99","2.924475","1900"
"2022-10-26","3.03","3.03","3.03","3.03","2.963598","200"
"2022-10-31","3.161","3.205","3.161","3.205","3.134763","1200"
"2022-11-01","3.22","3.22","3.05","3.12","3.051626","7800"
"2022-11-02","3.16","3.16","2.92","2.92","2.856009","900"
"2022-11-03","2.96","3.04","2.96","3.04","2.973379","700"
"2022-11-04","2.97","2.97","2.97","2.97","2.904913","300"
"2022-11-07","3.2","3.2","3.2","3.2","3.129873","600"
"2022-11-08","3.16","3.16","3.16","3.16","3.09075","300"
"2022-11-09","3.16","3.16","3.16","3.16","3.09075","6600"
"2022-11-11","3","3","2.975","3","2.934256","5800"
"2022-11-14","3.055","3.055","3.055","3.055","2.988051","400"
"2022-11-15","3.036","3.04","2.96","2.96","2.895133","4500"
"2022-11-16","2.833","2.88","2.79","2.79","2.728858","3800"
"2022-11-17","2.89","2.89","2.82","2.82","2.758201","4400"
"2022-11-18","2.91","2.91","2.91","2.91","2.846228","900"
"2022-11-21","2.8","2.8","2.8","2.8","2.738639","200"
"2022-11-22","2.84","2.84","2.84","2.84","2.777762","2000"
"2022-11-23","2.83","2.83","2.83","2.83","2.767982","300"
"2022-11-25","2.83","2.83","2.83","2.83","2.767982","100"
"2022-11-28","2.71","2.71","2.71","2.71","2.650611","100"
"2022-11-29","2.75","2.75","2.75","2.75","2.689735","400"
"2022-11-30","2.693","2.693","2.693","2.693","2.633984","700"
"2022-12-01","2.83","2.83","2.83","2.83","2.767982","200"
"2022-12-02","2.936","3.16","2.936","3.16","3.09075","1400"
"2022-12-05","2.83","2.865","2.83","2.865","2.802215","3700"
"2022-12-07","2.818","2.861","2.818","2.861","2.798302","4600"
"2022-12-08","2.71","2.77","2.71","2.76","2.699516","1700"
"2022-12-09","2.645","2.645","2.645","2.645","2.587036","400"
"2022-12-12","2.573","2.596","2.573","2.596","2.539109","1200"
"2022-12-13","2.51","2.74","2.42","2.42","2.366966","20600"
"2022-12-14","2.675","2.715","2.419","2.43","2.376747","9000"
"2022-12-15","2.71","2.762","2.43","2.762","2.701472","3600"
"2022-12-16","2.215","2.8","2.215","2.8","2.738639","8900"
"2022-12-19","2.25","3.11","2.25","2.71","2.650611","1800"
"2022-12-21","2.2","2.705","2.2","2.705","2.645721","1500"
"2022-12-23","2.65","2.65","2.31","2.31","2.259377","700"
"2022-12-27","2.25","2.73","2.25","2.283","2.232969","6100"
"2022-12-28","2.735","2.735","2.28","2.28","2.230035","1800"
"2022-12-29","3.196","3.196","3.196","3.196","3.125961","400"
"2022-12-30","2.25","3.19","2.25","3.19","3.120092","800"
"2023-01-04","2.9","2.9","2.9","2.9","2.836447","1000"
"2023-01-05","3.41","3.41","2.47","2.95","2.885352","3300"
"2023-01-09","2.95","3.003","2.95","3.003","2.93719","5800"
"2023-01-10","2.97","3.44","2.97","2.97","2.904913","12300"
"2023-01-11","2.97","2.97","2.97","2.97","2.904913","900"
"2023-01-12","2.99","3.025","2.99","3.025","2.958708","18900"
"2023-01-13","3.03","3.08","2.99","3.08","3.012503","500300"
"2023-01-17","3.23","3.52","3","3.26","3.188558","79800"
"2023-01-18","3.12","3.12","3.023","3.12","3.051626","26700"
"2023-01-19","3.21","3.21","3.2","3.21","3.139654","32600"
"2023-01-20","3.12","3.16","3.12","3.12","3.051626","5200"
"2023-01-23","3.128","3.21","3.06","3.21","3.139654","18300"
"2023-01-24","3.15","3.15","3.05","3.15","3.080969","4100"
"2023-01-25","3.07","3.07","3.05","3.05","2.98316","1900"
"2023-01-26","3.03","3.03","3.005","3.005","2.939147","2800"
"2023-01-27","3.005","3.04","3.005","3.04","2.973379","19300"
"2023-01-30","2.935","2.96","2.93","2.95","2.885352","146100"
"2023-01-31","2.98","3.13","2.98","3.126","3.057495","5600"
"2023-02-01","3.065","3.16","3.037","3.16","3.09075","2500"
"2023-02-02","2.98","2.98","2.94","2.98","2.914694","6400"
"2023-02-03","2.982","3.09","2.982","3.059","2.991963","131600"
"2023-02-06","3.109","3.109","2.95","2.95","2.885352","1400"
"2023-02-07","3","3.029","2.97","3.029","2.96262","2300"
"2023-02-08","3","3","3","3","2.934256","30300"
